symbol,timestamp_utc,timestamp_et,trade_date_et,time_et,open,high,low,close,volume,trade_count,vwap,timeframe,feed
COIN,2026-04-20T18:04:00Z,2026-04-20 14:04:00-0400,2026-04-20,14:04:00,208.47,208.61,208.2,208.61,22277,397,208.386162,1Min,sip
COIN,2026-04-20T18:05:00Z,2026-04-20 14:05:00-0400,2026-04-20,14:05:00,208.56,208.99,208.56,208.9247,20937,582,208.785135,1Min,sip
COIN,2026-04-20T18:06:00Z,2026-04-20 14:06:00-0400,2026-04-20,14:06:00,208.99,209.18,208.92,209.0,29206,511,209.086435,1Min,sip
COIN,2026-04-20T18:07:00Z,2026-04-20 14:07:00-0400,2026-04-20,14:07:00,208.985,209.03,208.41,208.5,17750,450,208.649383,1Min,sip
COIN,2026-04-20T18:08:00Z,2026-04-20 14:08:00-0400,2026-04-20,14:08:00,208.43,208.53,208.3,208.53,18187,433,208.439397,1Min,sip
COIN,2026-04-20T18:09:00Z,2026-04-20 14:09:00-0400,2026-04-20,14:09:00,208.53,208.8599,208.49,208.75,33812,770,208.600992,1Min,sip
COIN,2026-04-20T18:10:00Z,2026-04-20 14:10:00-0400,2026-04-20,14:10:00,208.68,208.702,208.51,208.68,13463,316,208.611474,1Min,sip
COIN,2026-04-20T18:11:00Z,2026-04-20 14:11:00-0400,2026-04-20,14:11:00,208.71,208.82,208.0,208.225,40305,913,208.42865,1Min,sip
COIN,2026-04-20T18:12:00Z,2026-04-20 14:12:00-0400,2026-04-20,14:12:00,208.22,208.53,208.22,208.45,8324,193,208.3911,1Min,sip
COIN,2026-04-20T18:13:00Z,2026-04-20 14:13:00-0400,2026-04-20,14:13:00,208.475,208.7099,208.3975,208.65,15540,420,208.588968,1Min,sip
COIN,2026-04-20T18:14:00Z,2026-04-20 14:14:00-0400,2026-04-20,14:14:00,208.615,208.8393,208.57,208.745,9079,284,208.713859,1Min,sip
COIN,2026-04-20T18:15:00Z,2026-04-20 14:15:00-0400,2026-04-20,14:15:00,208.745,208.84,208.67,208.71,17629,370,208.747102,1Min,sip
COIN,2026-04-20T18:16:00Z,2026-04-20 14:16:00-0400,2026-04-20,14:16:00,208.72,208.9199,208.6001,208.85,10553,337,208.779112,1Min,sip
COIN,2026-04-20T18:17:00Z,2026-04-20 14:17:00-0400,2026-04-20,14:17:00,208.8285,209.17,208.76,209.12,24277,424,208.983096,1Min,sip
COIN,2026-04-20T18:18:00Z,2026-04-20 14:18:00-0400,2026-04-20,14:18:00,209.12,209.46,208.82,209.44,29169,524,209.211343,1Min,sip
COIN,2026-04-20T18:19:00Z,2026-04-20 14:19:00-0400,2026-04-20,14:19:00,209.45,209.75,209.3324,209.49,27287,515,209.502879,1Min,sip
COIN,2026-04-20T18:20:00Z,2026-04-20 14:20:00-0400,2026-04-20,14:20:00,209.54,209.75,209.43,209.725,19444,505,209.559553,1Min,sip
COIN,2026-04-20T18:21:00Z,2026-04-20 14:21:00-0400,2026-04-20,14:21:00,209.725,209.77,209.4201,209.69,15156,331,209.61268,1Min,sip
COIN,2026-04-20T18:22:00Z,2026-04-20 14:22:00-0400,2026-04-20,14:22:00,209.67,209.93,209.63,209.85,23616,467,209.835295,1Min,sip
COIN,2026-04-20T18:23:00Z,2026-04-20 14:23:00-0400,2026-04-20,14:23:00,209.815,210.112,209.78,209.935,60382,995,209.948387,1Min,sip
COIN,2026-04-20T18:24:00Z,2026-04-20 14:24:00-0400,2026-04-20,14:24:00,209.9,209.99,209.72,209.818,16856,344,209.843544,1Min,sip
COIN,2026-04-20T18:25:00Z,2026-04-20 14:25:00-0400,2026-04-20,14:25:00,209.875,210.05,209.6301,209.65,15950,329,209.870743,1Min,sip
COIN,2026-04-20T18:26:00Z,2026-04-20 14:26:00-0400,2026-04-20,14:26:00,209.72,209.8,209.56,209.7112,12309,303,209.65694,1Min,sip
COIN,2026-04-20T18:27:00Z,2026-04-20 14:27:00-0400,2026-04-20,14:27:00,209.7999,209.8994,209.6401,209.8,11193,296,209.776926,1Min,sip
COIN,2026-04-20T18:28:00Z,2026-04-20 14:28:00-0400,2026-04-20,14:28:00,209.82,209.92,209.4,209.79,30723,726,209.725,1Min,sip
COIN,2026-04-20T18:29:00Z,2026-04-20 14:29:00-0400,2026-04-20,14:29:00,209.91,210.13,209.83,210.04,50327,628,209.992668,1Min,sip
COIN,2026-04-20T18:30:00Z,2026-04-20 14:30:00-0400,2026-04-20,14:30:00,210.12,210.3,209.71,209.795,27389,514,210.049699,1Min,sip
COIN,2026-04-20T18:31:00Z,2026-04-20 14:31:00-0400,2026-04-20,14:31:00,209.8,209.92,209.63,209.65,14090,287,209.783048,1Min,sip
COIN,2026-04-20T18:32:00Z,2026-04-20 14:32:00-0400,2026-04-20,14:32:00,209.575,209.64,209.41,209.605,13187,302,209.525902,1Min,sip
COIN,2026-04-20T18:33:00Z,2026-04-20 14:33:00-0400,2026-04-20,14:33:00,209.59,209.79,209.55,209.55,7312,180,209.672597,1Min,sip
COIN,2026-04-20T18:34:00Z,2026-04-20 14:34:00-0400,2026-04-20,14:34:00,209.7,209.8768,209.625,209.8768,6329,139,209.779351,1Min,sip
COIN,2026-04-20T18:35:00Z,2026-04-20 14:35:00-0400,2026-04-20,14:35:00,209.768,209.9099,209.768,209.78,8786,232,209.863184,1Min,sip
COIN,2026-04-20T18:36:00Z,2026-04-20 14:36:00-0400,2026-04-20,14:36:00,209.85,210.05,209.45,209.66,31578,777,209.83238,1Min,sip
COIN,2026-04-20T18:37:00Z,2026-04-20 14:37:00-0400,2026-04-20,14:37:00,209.71,209.75,209.48,209.68,7212,183,209.637888,1Min,sip
COIN,2026-04-20T18:38:00Z,2026-04-20 14:38:00-0400,2026-04-20,14:38:00,209.61,209.61,209.18,209.255,19118,320,209.368838,1Min,sip
COIN,2026-04-20T18:39:00Z,2026-04-20 14:39:00-0400,2026-04-20,14:39:00,209.25,209.37,209.0,209.2,20687,312,209.165751,1Min,sip
COIN,2026-04-20T18:40:00Z,2026-04-20 14:40:00-0400,2026-04-20,14:40:00,209.26,209.61,209.23,209.465,11407,298,209.413812,1Min,sip
COIN,2026-04-20T18:41:00Z,2026-04-20 14:41:00-0400,2026-04-20,14:41:00,209.38,209.5599,209.26,209.505,13132,268,209.401763,1Min,sip
COIN,2026-04-20T18:42:00Z,2026-04-20 14:42:00-0400,2026-04-20,14:42:00,209.505,209.879,209.46,209.59,20484,356,209.705778,1Min,sip
COIN,2026-04-20T18:43:00Z,2026-04-20 14:43:00-0400,2026-04-20,14:43:00,209.59,209.59,209.47,209.53,9036,239,209.525911,1Min,sip
COIN,2026-04-20T18:44:00Z,2026-04-20 14:44:00-0400,2026-04-20,14:44:00,209.51,209.65,209.4501,209.5243,6837,177,209.534514,1Min,sip
COIN,2026-04-20T18:45:00Z,2026-04-20 14:45:00-0400,2026-04-20,14:45:00,209.565,209.71,209.5,209.57,12664,336,209.584451,1Min,sip
COIN,2026-04-20T18:46:00Z,2026-04-20 14:46:00-0400,2026-04-20,14:46:00,209.56,209.63,209.31,209.465,18952,289,209.438701,1Min,sip
COIN,2026-04-20T18:47:00Z,2026-04-20 14:47:00-0400,2026-04-20,14:47:00,209.43,209.4484,209.1901,209.345,16077,302,209.336083,1Min,sip
COIN,2026-04-20T18:48:00Z,2026-04-20 14:48:00-0400,2026-04-20,14:48:00,209.3,209.38,209.16,209.235,13628,259,209.227018,1Min,sip
COIN,2026-04-20T18:49:00Z,2026-04-20 14:49:00-0400,2026-04-20,14:49:00,209.21,209.49,209.205,209.49,11091,239,209.373059,1Min,sip
COIN,2026-04-20T18:50:00Z,2026-04-20 14:50:00-0400,2026-04-20,14:50:00,209.44,210.08,209.4297,210.03,16990,373,209.877873,1Min,sip
COIN,2026-04-20T18:51:00Z,2026-04-20 14:51:00-0400,2026-04-20,14:51:00,210.07,210.3096,210.01,210.3096,34809,613,210.136419,1Min,sip
COIN,2026-04-20T18:52:00Z,2026-04-20 14:52:00-0400,2026-04-20,14:52:00,210.28,210.28,210.0,210.0777,16176,273,210.163184,1Min,sip
COIN,2026-04-20T18:53:00Z,2026-04-20 14:53:00-0400,2026-04-20,14:53:00,210.085,210.5,210.068,210.5,22202,419,210.28289,1Min,sip
COIN,2026-04-20T18:54:00Z,2026-04-20 14:54:00-0400,2026-04-20,14:54:00,210.4581,210.68,210.33,210.6,26907,505,210.503341,1Min,sip
COIN,2026-04-20T18:55:00Z,2026-04-20 14:55:00-0400,2026-04-20,14:55:00,210.5701,210.7399,210.42,210.46,20401,360,210.579568,1Min,sip
COIN,2026-04-20T18:56:00Z,2026-04-20 14:56:00-0400,2026-04-20,14:56:00,210.45,210.72,210.3,210.34,13859,351,210.483479,1Min,sip
COIN,2026-04-20T18:57:00Z,2026-04-20 14:57:00-0400,2026-04-20,14:57:00,210.3,210.3,209.9601,210.0658,16557,365,210.059418,1Min,sip
COIN,2026-04-20T18:58:00Z,2026-04-20 14:58:00-0400,2026-04-20,14:58:00,209.9601,210.09,209.75,209.76,13237,344,209.876364,1Min,sip
COIN,2026-04-20T18:59:00Z,2026-04-20 14:59:00-0400,2026-04-20,14:59:00,209.79,209.87,209.73,209.77,10391,244,209.782246,1Min,sip
COIN,2026-04-20T19:00:00Z,2026-04-20 15:00:00-0400,2026-04-20,15:00:00,209.83,209.88,209.59,209.74,12990,246,209.769596,1Min,sip
COIN,2026-04-20T19:01:00Z,2026-04-20 15:01:00-0400,2026-04-20,15:01:00,209.726,209.78,209.49,209.58,15226,256,209.611804,1Min,sip
COIN,2026-04-20T19:02:00Z,2026-04-20 15:02:00-0400,2026-04-20,15:02:00,209.585,209.612,209.16,209.35,20552,462,209.40421,1Min,sip
COIN,2026-04-20T19:03:00Z,2026-04-20 15:03:00-0400,2026-04-20,15:03:00,209.4313,209.69,209.15,209.27,18179,301,209.500303,1Min,sip
COIN,2026-04-20T19:04:00Z,2026-04-20 15:04:00-0400,2026-04-20,15:04:00,209.3,209.66,209.2575,209.6,7926,203,209.436439,1Min,sip
COIN,2026-04-20T19:05:00Z,2026-04-20 15:05:00-0400,2026-04-20,15:05:00,209.6,209.72,209.3701,209.45,13070,397,209.567147,1Min,sip
COIN,2026-04-20T19:06:00Z,2026-04-20 15:06:00-0400,2026-04-20,15:06:00,209.6089,209.72,209.47,209.565,10910,262,209.592647,1Min,sip
COIN,2026-04-20T19:07:00Z,2026-04-20 15:07:00-0400,2026-04-20,15:07:00,209.565,209.66,209.19,209.23,18936,331,209.370726,1Min,sip
COIN,2026-04-20T19:08:00Z,2026-04-20 15:08:00-0400,2026-04-20,15:08:00,209.305,209.71,209.2401,209.71,12331,236,209.441573,1Min,sip
COIN,2026-04-20T19:09:00Z,2026-04-20 15:09:00-0400,2026-04-20,15:09:00,209.625,209.94,209.55,209.93,14376,328,209.776651,1Min,sip
COIN,2026-04-20T19:10:00Z,2026-04-20 15:10:00-0400,2026-04-20,15:10:00,209.82,209.9399,209.61,209.73,20305,279,209.768703,1Min,sip
COIN,2026-04-20T19:11:00Z,2026-04-20 15:11:00-0400,2026-04-20,15:11:00,209.735,209.7899,209.4942,209.53,8429,177,209.622115,1Min,sip
COIN,2026-04-20T19:12:00Z,2026-04-20 15:12:00-0400,2026-04-20,15:12:00,209.53,209.73,209.525,209.665,7710,161,209.628933,1Min,sip
COIN,2026-04-20T19:13:00Z,2026-04-20 15:13:00-0400,2026-04-20,15:13:00,209.665,209.84,209.6,209.655,8952,206,209.702611,1Min,sip
COIN,2026-04-20T19:14:00Z,2026-04-20 15:14:00-0400,2026-04-20,15:14:00,209.66,209.73,209.535,209.69,7441,249,209.628576,1Min,sip
COIN,2026-04-20T19:15:00Z,2026-04-20 15:15:00-0400,2026-04-20,15:15:00,209.73,209.74,209.53,209.555,10281,228,209.632623,1Min,sip
COIN,2026-04-20T19:16:00Z,2026-04-20 15:16:00-0400,2026-04-20,15:16:00,209.55,209.6,209.28,209.335,11499,247,209.391126,1Min,sip
COIN,2026-04-20T19:17:00Z,2026-04-20 15:17:00-0400,2026-04-20,15:17:00,209.32,209.6,209.31,209.485,16413,321,209.447985,1Min,sip
COIN,2026-04-20T19:18:00Z,2026-04-20 15:18:00-0400,2026-04-20,15:18:00,209.45,209.789,209.4,209.71,15504,207,209.669566,1Min,sip
COIN,2026-04-20T19:19:00Z,2026-04-20 15:19:00-0400,2026-04-20,15:19:00,209.71,210.0,209.71,209.935,8279,291,209.856818,1Min,sip
COIN,2026-04-20T19:20:00Z,2026-04-20 15:20:00-0400,2026-04-20,15:20:00,209.935,210.2199,209.89,210.135,53407,859,210.080776,1Min,sip
COIN,2026-04-20T19:21:00Z,2026-04-20 15:21:00-0400,2026-04-20,15:21:00,210.135,210.39,210.0033,210.3296,17121,335,210.166663,1Min,sip
COIN,2026-04-20T19:22:00Z,2026-04-20 15:22:00-0400,2026-04-20,15:22:00,210.319,210.355,210.185,210.23,9458,215,210.268937,1Min,sip
COIN,2026-04-20T19:23:00Z,2026-04-20 15:23:00-0400,2026-04-20,15:23:00,210.19,210.2574,209.91,209.975,19615,392,210.03448,1Min,sip
COIN,2026-04-20T19:24:00Z,2026-04-20 15:24:00-0400,2026-04-20,15:24:00,209.96,210.08,209.9,209.955,12923,239,209.952118,1Min,sip
COIN,2026-04-20T19:25:00Z,2026-04-20 15:25:00-0400,2026-04-20,15:25:00,210.0,210.02,209.73,209.785,14511,327,209.869228,1Min,sip
COIN,2026-04-20T19:26:00Z,2026-04-20 15:26:00-0400,2026-04-20,15:26:00,209.78,209.84,209.62,209.65,15120,323,209.721982,1Min,sip
COIN,2026-04-20T19:27:00Z,2026-04-20 15:27:00-0400,2026-04-20,15:27:00,209.67,209.88,209.67,209.83,28724,398,209.803254,1Min,sip
COIN,2026-04-20T19:28:00Z,2026-04-20 15:28:00-0400,2026-04-20,15:28:00,209.785,210.54,209.775,210.484,48488,674,210.222351,1Min,sip
COIN,2026-04-20T19:29:00Z,2026-04-20 15:29:00-0400,2026-04-20,15:29:00,210.47,210.63,210.45,210.58,14036,378,210.540497,1Min,sip
COIN,2026-04-20T19:30:00Z,2026-04-20 15:30:00-0400,2026-04-20,15:30:00,210.58,210.86,210.55,210.815,34136,638,210.69176,1Min,sip
COIN,2026-04-20T19:31:00Z,2026-04-20 15:31:00-0400,2026-04-20,15:31:00,210.81,211.0,210.64,210.825,32650,491,210.834611,1Min,sip
COIN,2026-04-20T19:32:00Z,2026-04-20 15:32:00-0400,2026-04-20,15:32:00,210.74,210.92,210.62,210.89,21345,408,210.78831,1Min,sip
COIN,2026-04-20T19:33:00Z,2026-04-20 15:33:00-0400,2026-04-20,15:33:00,210.86,210.94,210.46,210.58,24605,536,210.701988,1Min,sip
COIN,2026-04-20T19:34:00Z,2026-04-20 15:34:00-0400,2026-04-20,15:34:00,210.53,210.77,210.53,210.71,14557,284,210.65022,1Min,sip
COIN,2026-04-20T19:35:00Z,2026-04-20 15:35:00-0400,2026-04-20,15:35:00,210.67,211.18,210.63,211.14,35381,667,210.96854,1Min,sip
COIN,2026-04-20T19:36:00Z,2026-04-20 15:36:00-0400,2026-04-20,15:36:00,211.15,211.2696,211.01,211.06,44987,795,211.148584,1Min,sip
COIN,2026-04-20T19:37:00Z,2026-04-20 15:37:00-0400,2026-04-20,15:37:00,211.095,211.27,210.94,211.005,28884,512,211.081043,1Min,sip
COIN,2026-04-20T19:38:00Z,2026-04-20 15:38:00-0400,2026-04-20,15:38:00,211.005,211.18,211.005,211.13,23673,415,211.117165,1Min,sip
COIN,2026-04-20T19:39:00Z,2026-04-20 15:39:00-0400,2026-04-20,15:39:00,211.1699,211.73,211.125,211.7,32293,743,211.497844,1Min,sip
COIN,2026-04-20T19:40:00Z,2026-04-20 15:40:00-0400,2026-04-20,15:40:00,211.59,211.89,211.55,211.78,46769,865,211.74882,1Min,sip
COIN,2026-04-20T19:41:00Z,2026-04-20 15:41:00-0400,2026-04-20,15:41:00,211.715,211.85,211.4301,211.465,45279,801,211.730879,1Min,sip
COIN,2026-04-20T19:42:00Z,2026-04-20 15:42:00-0400,2026-04-20,15:42:00,211.465,211.73,211.4612,211.7291,15982,402,211.597412,1Min,sip
COIN,2026-04-20T19:43:00Z,2026-04-20 15:43:00-0400,2026-04-20,15:43:00,211.73,212.12,211.62,211.77,47015,876,211.855625,1Min,sip
COIN,2026-04-20T19:44:00Z,2026-04-20 15:44:00-0400,2026-04-20,15:44:00,211.78,211.86,211.47,211.76,28515,489,211.701825,1Min,sip
COIN,2026-04-20T19:45:00Z,2026-04-20 15:45:00-0400,2026-04-20,15:45:00,211.77,211.83,211.42,211.545,32274,704,211.587641,1Min,sip
COIN,2026-04-20T19:46:00Z,2026-04-20 15:46:00-0400,2026-04-20,15:46:00,211.52,211.61,211.37,211.5,36912,609,211.522668,1Min,sip
COIN,2026-04-20T19:47:00Z,2026-04-20 15:47:00-0400,2026-04-20,15:47:00,211.5,211.74,211.39,211.63,18044,433,211.591296,1Min,sip
COIN,2026-04-20T19:48:00Z,2026-04-20 15:48:00-0400,2026-04-20,15:48:00,211.65,211.9,211.6001,211.74,19584,529,211.744733,1Min,sip
COIN,2026-04-20T19:49:00Z,2026-04-20 15:49:00-0400,2026-04-20,15:49:00,211.755,211.815,211.62,211.79,34741,590,211.721222,1Min,sip
COIN,2026-04-20T19:50:00Z,2026-04-20 15:50:00-0400,2026-04-20,15:50:00,211.83,211.93,211.7,211.73,43180,835,211.81041,1Min,sip
COIN,2026-04-20T19:51:00Z,2026-04-20 15:51:00-0400,2026-04-20,15:51:00,211.73,212.03,211.69,211.985,37905,947,211.893771,1Min,sip
COIN,2026-04-20T19:52:00Z,2026-04-20 15:52:00-0400,2026-04-20,15:52:00,211.985,212.12,211.9401,212.03,36988,809,212.040983,1Min,sip
COIN,2026-04-20T19:53:00Z,2026-04-20 15:53:00-0400,2026-04-20,15:53:00,212.09,212.3,212.03,212.23,36448,768,212.209103,1Min,sip
COIN,2026-04-20T19:54:00Z,2026-04-20 15:54:00-0400,2026-04-20,15:54:00,212.27,212.3,211.77,211.79,49498,1159,212.064626,1Min,sip
COIN,2026-04-20T19:55:00Z,2026-04-20 15:55:00-0400,2026-04-20,15:55:00,211.63,211.63,211.17,211.17,49168,1327,211.367181,1Min,sip
COIN,2026-04-20T19:56:00Z,2026-04-20 15:56:00-0400,2026-04-20,15:56:00,211.17,211.55,211.13,211.525,47715,1229,211.361003,1Min,sip
COIN,2026-04-20T19:57:00Z,2026-04-20 15:57:00-0400,2026-04-20,15:57:00,211.54,211.66,211.47,211.625,62166,1442,211.581814,1Min,sip
COIN,2026-04-20T19:58:00Z,2026-04-20 15:58:00-0400,2026-04-20,15:58:00,211.6,211.82,211.58,211.69,82511,2321,211.702314,1Min,sip
COIN,2026-04-20T19:59:00Z,2026-04-20 15:59:00-0400,2026-04-20,15:59:00,211.69,211.835,211.65,211.7,163463,4018,211.735592,1Min,sip
COIN,2026-04-21T13:30:00Z,2026-04-21 09:30:00-0400,2026-04-21,09:30:00,211.2,211.46,207.6,208.0,160948,2807,209.756288,1Min,sip
COIN,2026-04-21T13:31:00Z,2026-04-21 09:31:00-0400,2026-04-21,09:31:00,207.81,208.28,206.2,207.645,77198,1673,207.300597,1Min,sip
COIN,2026-04-21T13:32:00Z,2026-04-21 09:32:00-0400,2026-04-21,09:32:00,207.65,208.3,206.27,207.48,75199,1521,206.996351,1Min,sip
COIN,2026-04-21T13:33:00Z,2026-04-21 09:33:00-0400,2026-04-21,09:33:00,207.5,207.6299,206.3,207.02,58061,1238,206.940875,1Min,sip
